"Step","phase1-reasoning - train/mse","phase1-reasoning - train/mse__MIN","phase1-reasoning - train/mse__MAX"
"307","20.971359729766846","20.971359729766846","20.971359729766846"
"308","21.461417198181152","21.461417198181152","21.461417198181152"
"309","20.791691541671753","20.791691541671753","20.791691541671753"
"310","21.89399790763855","21.89399790763855","21.89399790763855"
"312","20.79279136657715","20.79279136657715","20.79279136657715"
"313","20.663353204727173","20.663353204727173","20.663353204727173"
"314","21.32680892944336","21.32680892944336","21.32680892944336"
"315","21.9899799823761","21.9899799823761","21.9899799823761"
"316","22.781365871429443","22.781365871429443","22.781365871429443"
"317","21.658334970474243","21.658334970474243","21.658334970474243"
"318","23.03392767906189","23.03392767906189","23.03392767906189"
"319","21.140297412872314","21.140297412872314","21.140297412872314"
"320","21.3526132106781","21.3526132106781","21.3526132106781"
"321","20.5842125415802","20.5842125415802","20.5842125415802"
"322","21.043569087982178","21.043569087982178","21.043569087982178"
"323","21.024099111557007","21.024099111557007","21.024099111557007"
"324","20.686944723129272","20.686944723129272","20.686944723129272"
"325","21.246644496917725","21.246644496917725","21.246644496917725"
"326","20.476736307144165","20.476736307144165","20.476736307144165"
"327","20.72893977165222","20.72893977165222","20.72893977165222"
"328","21.34534215927124","21.34534215927124","21.34534215927124"
"329","19.3925461769104","19.3925461769104","19.3925461769104"
"330","20.60221266746521","20.60221266746521","20.60221266746521"
"331","22.230042934417725","22.230042934417725","22.230042934417725"
"332","20.809510469436646","20.809510469436646","20.809510469436646"
"333","20.41872525215149","20.41872525215149","20.41872525215149"
"334","20.869462251663208","20.869462251663208","20.869462251663208"
"335","20.903372287750244","20.903372287750244","20.903372287750244"
"336","22.33876872062683","22.33876872062683","22.33876872062683"
"338","22.291739463806152","22.291739463806152","22.291739463806152"
"339","21.068444967269897","21.068444967269897","21.068444967269897"
"340","19.713831782341003","19.713831782341003","19.713831782341003"
"341","21.671148538589478","21.671148538589478","21.671148538589478"
"342","21.680726766586304","21.680726766586304","21.680726766586304"
"343","21.063973665237427","21.063973665237427","21.063973665237427"
"344","21.088833332061768","21.088833332061768","21.088833332061768"
"345","21.641687631607056","21.641687631607056","21.641687631607056"
"346","20.008066415786743","20.008066415786743","20.008066415786743"
"347","20.971179962158203","20.971179962158203","20.971179962158203"
"348","20.71405816078186","20.71405816078186","20.71405816078186"
"349","21.390977382659912","21.390977382659912","21.390977382659912"
"350","22.421342611312866","22.421342611312866","22.421342611312866"
"351","21.058865547180176","21.058865547180176","21.058865547180176"
"352","19.481724858283997","19.481724858283997","19.481724858283997"
"353","18.639556646347046","18.639556646347046","18.639556646347046"
"354","20.406590938568115","20.406590938568115","20.406590938568115"
"355","22.162144899368286","22.162144899368286","22.162144899368286"
"356","19.784884929656982","19.784884929656982","19.784884929656982"
"357","20.416162490844727","20.416162490844727","20.416162490844727"
"358","21.303748607635498","21.303748607635498","21.303748607635498"
"359","21.360332250595093","21.360332250595093","21.360332250595093"
"360","20.823240280151367","20.823240280151367","20.823240280151367"
"361","21.394147157669067","21.394147157669067","21.394147157669067"
"362","19.866793632507324","19.866793632507324","19.866793632507324"
"364","23.07744860649109","23.07744860649109","23.07744860649109"
"365","20.4304301738739","20.4304301738739","20.4304301738739"
"366","20.77256417274475","20.77256417274475","20.77256417274475"
"367","21.087766885757446","21.087766885757446","21.087766885757446"
"368","22.250364780426025","22.250364780426025","22.250364780426025"
"369","20.47813594341278","20.47813594341278","20.47813594341278"
"370","21.62138032913208","21.62138032913208","21.62138032913208"
