"Step","phase1-reasoning - train/kl","phase1-reasoning - train/kl__MIN","phase1-reasoning - train/kl__MAX"
"320","400.8774223327637","400.8774223327637","400.8774223327637"
"321","405.26317596435547","405.26317596435547","405.26317596435547"
"322","402.9609260559082","402.9609260559082","402.9609260559082"
"323","402.75957107543945","402.75957107543945","402.75957107543945"
"324","403.7241020202637","403.7241020202637","403.7241020202637"
"325","403.4717712402344","403.4717712402344","403.4717712402344"
"326","405.965274810791","405.965274810791","405.965274810791"
"327","404.94522857666016","404.94522857666016","404.94522857666016"
"328","405.49911880493164","405.49911880493164","405.49911880493164"
"329","405.236873626709","405.236873626709","405.236873626709"
"330","404.58766174316406","404.58766174316406","404.58766174316406"
"331","405.8607482910156","405.8607482910156","405.8607482910156"
"332","405.12731552124023","405.12731552124023","405.12731552124023"
"333","404.86426544189453","404.86426544189453","404.86426544189453"
"334","404.82158279418945","404.82158279418945","404.82158279418945"
"335","406.73900604248047","406.73900604248047","406.73900604248047"
"336","406.9893035888672","406.9893035888672","406.9893035888672"
"338","407.8205986022949","407.8205986022949","407.8205986022949"
"339","406.87642669677734","406.87642669677734","406.87642669677734"
"340","405.3340721130371","405.3340721130371","405.3340721130371"
"341","405.91454696655273","405.91454696655273","405.91454696655273"
"342","407.4597473144531","407.4597473144531","407.4597473144531"
"343","409.44289779663086","409.44289779663086","409.44289779663086"
"344","406.90441131591797","406.90441131591797","406.90441131591797"
"345","410.13641357421875","410.13641357421875","410.13641357421875"
"346","410.3230094909668","410.3230094909668","410.3230094909668"
"347","409.78203201293945","409.78203201293945","409.78203201293945"
"348","411.0650520324707","411.0650520324707","411.0650520324707"
"349","410.89330673217773","410.89330673217773","410.89330673217773"
"350","409.6309509277344","409.6309509277344","409.6309509277344"
"351","408.4628372192383","408.4628372192383","408.4628372192383"
"352","409.3502540588379","409.3502540588379","409.3502540588379"
"353","410.40610122680664","410.40610122680664","410.40610122680664"
"354","411.15649032592773","411.15649032592773","411.15649032592773"
"355","410.13607025146484","410.13607025146484","410.13607025146484"
"356","411.1516990661621","411.1516990661621","411.1516990661621"
"357","412.2627487182617","412.2627487182617","412.2627487182617"
"358","410.770694732666","410.770694732666","410.770694732666"
"359","410.6036071777344","410.6036071777344","410.6036071777344"
"360","410.95032119750977","410.95032119750977","410.95032119750977"
"361","410.8785057067871","410.8785057067871","410.8785057067871"
"362","411.4966049194336","411.4966049194336","411.4966049194336"
"364","411.74355697631836","411.74355697631836","411.74355697631836"
"365","410.78995513916016","410.78995513916016","410.78995513916016"
"366","413.65090560913086","413.65090560913086","413.65090560913086"
"367","414.25851821899414","414.25851821899414","414.25851821899414"
"368","414.1056785583496","414.1056785583496","414.1056785583496"
"369","412.9935302734375","412.9935302734375","412.9935302734375"
"370","413.3945198059082","413.3945198059082","413.3945198059082"
