"Step","deep-planet-14 - ce_loss","deep-planet-14 - ce_loss__MIN","deep-planet-14 - ce_loss__MAX"
"4590","1.3125","1.3125","1.3125"
"4600","1.234375","1.234375","1.234375"
"4610","3.4375","3.4375","3.4375"
"4620","2.359375","2.359375","2.359375"
"4630","1.625","1.625","1.625"
"4640","1.59375","1.59375","1.59375"
"4650","2.296875","2.296875","2.296875"
"4660","2.625","2.625","2.625"
"4670","1.421875","1.421875","1.421875"
"4680","2.9375","2.9375","2.9375"
"4690","2.484375","2.484375","2.484375"
"4700","2.640625","2.640625","2.640625"
"4710","1.0078125","1.0078125","1.0078125"
"4720","1.6015625","1.6015625","1.6015625"
"4730","3.125","3.125","3.125"
"4740","1.265625","1.265625","1.265625"
"4750","2.25","2.25","2.25"
"4760","1.078125","1.078125","1.078125"
"4770","1.6875","1.6875","1.6875"
"4780","0.9921875","0.9921875","0.9921875"
"4790","2.234375","2.234375","2.234375"
"4800","2.65625","2.65625","2.65625"
"4810","1.359375","1.359375","1.359375"
"4820","2.484375","2.484375","2.484375"
"4830","1.109375","1.109375","1.109375"
"4840","3.28125","3.28125","3.28125"
"4850","1.5390625","1.5390625","1.5390625"
"4860","2.265625","2.265625","2.265625"
"4870","1.9296875","1.9296875","1.9296875"
"4880","3.28125","3.28125","3.28125"
"4890","1.65625","1.65625","1.65625"
"4900","1.234375","1.234375","1.234375"
"4910","1.1875","1.1875","1.1875"
"4920","1.359375","1.359375","1.359375"
"4930","3.40625","3.40625","3.40625"
"4940","2.65625","2.65625","2.65625"
"4950","2.84375","2.84375","2.84375"
"4960","3.125","3.125","3.125"
"4970","3.1875","3.1875","3.1875"
"4980","2.15625","2.15625","2.15625"
"4990","2.75","2.75","2.75"
"5000","2.03125","2.03125","2.03125"
"5010","2.546875","2.546875","2.546875"
"5020","2.4375","2.4375","2.4375"
"5030","3.875","3.875","3.875"
"5040","1.1875","1.1875","1.1875"
"5050","2.296875","2.296875","2.296875"
"5060","2.546875","2.546875","2.546875"
"5070","2.625","2.625","2.625"
"5080","1.3203125","1.3203125","1.3203125"
"5090","1.1796875","1.1796875","1.1796875"
"5100","1.265625","1.265625","1.265625"
"5110","3.359375","3.359375","3.359375"
"5120","2.953125","2.953125","2.953125"
"5130","1.8359375","1.8359375","1.8359375"
"5140","0.99609375","0.99609375","0.99609375"
"5150","3.0625","3.0625","3.0625"
"5160","1.4140625","1.4140625","1.4140625"
"5170","3.703125","3.703125","3.703125"
"5180","1.3359375","1.3359375","1.3359375"
"5190","2.203125","2.203125","2.203125"
"5200","1.1171875","1.1171875","1.1171875"
"5210","1.0859375","1.0859375","1.0859375"
"5220","1.2578125","1.2578125","1.2578125"
"5230","1.546875","1.546875","1.546875"
"5240","3.375","3.375","3.375"
"5250","3.375","3.375","3.375"
"5260","1.15625","1.15625","1.15625"
"5270","2.5","2.5","2.5"
"5280","1.28125","1.28125","1.28125"
"5290","1.3046875","1.3046875","1.3046875"
"5300","2.03125","2.03125","2.03125"
"5310","1.3359375","1.3359375","1.3359375"
"5320","2.359375","2.359375","2.359375"
"5330","3.34375","3.34375","3.34375"
"5340","1.5859375","1.5859375","1.5859375"
"5350","3.328125","3.328125","3.328125"
"5360","1.109375","1.109375","1.109375"
"5370","2.671875","2.671875","2.671875"
"5380","1.1640625","1.1640625","1.1640625"
"5390","2.390625","2.390625","2.390625"
"5400","2.375","2.375","2.375"
"5410","2.375","2.375","2.375"
"5420","1.0234375","1.0234375","1.0234375"
"5430","1.1953125","1.1953125","1.1953125"
"5440","1.7890625","1.7890625","1.7890625"
"5450","1.0390625","1.0390625","1.0390625"
"5460","0.95703125","0.95703125","0.95703125"
"5470","3","3","3"
"5480","3.953125","3.953125","3.953125"
"5490","2.9375","2.9375","2.9375"
"5500","2.859375","2.859375","2.859375"
"5510","3.96875","3.96875","3.96875"
"5520","2.359375","2.359375","2.359375"
"5530","2.609375","2.609375","2.609375"
"5540","2.25","2.25","2.25"
"5550","2.734375","2.734375","2.734375"
"5560","2.4375","2.4375","2.4375"
"5570","1.4140625","1.4140625","1.4140625"
"5580","2.15625","2.15625","2.15625"
"5590","2.234375","2.234375","2.234375"
"5600","2.90625","2.90625","2.90625"
"5610","2.1875","2.1875","2.1875"
"5620","1.0703125","1.0703125","1.0703125"
"5630","2.96875","2.96875","2.96875"
"5640","1.3671875","1.3671875","1.3671875"
"5650","3.5","3.5","3.5"
"5660","2.28125","2.28125","2.28125"
"5670","3.484375","3.484375","3.484375"
"5680","1.3671875","1.3671875","1.3671875"
"5690","1.078125","1.078125","1.078125"
"5700","2.390625","2.390625","2.390625"
"5710","3.640625","3.640625","3.640625"
"5720","2.515625","2.515625","2.515625"
"5730","3.09375","3.09375","3.09375"
"5740","1.3046875","1.3046875","1.3046875"
"5750","1.5546875","1.5546875","1.5546875"
"5760","2.640625","2.640625","2.640625"
"5770","2.375","2.375","2.375"
"5780","3.34375","3.34375","3.34375"
"5790","2.3125","2.3125","2.3125"
"5800","3.0625","3.0625","3.0625"
"5810","2.328125","2.328125","2.328125"
"5820","3.5625","3.5625","3.5625"
"5830","3.21875","3.21875","3.21875"
"5840","2.53125","2.53125","2.53125"
"5850","1.2265625","1.2265625","1.2265625"
"5860","1.46875","1.46875","1.46875"
"5870","3.28125","3.28125","3.28125"
"5880","2.40625","2.40625","2.40625"
"5890","1.640625","1.640625","1.640625"
"5900","1.5703125","1.5703125","1.5703125"
"5910","1.2734375","1.2734375","1.2734375"
"5920","3.671875","3.671875","3.671875"
"5930","2.703125","2.703125","2.703125"
"5940","2.375","2.375","2.375"
"5950","2.53125","2.53125","2.53125"
"5960","4.28125","4.28125","4.28125"
"5970","3.265625","3.265625","3.265625"
"5980","2.140625","2.140625","2.140625"
"5990","1.3359375","1.3359375","1.3359375"
"6000","2.96875","2.96875","2.96875"
"6010","1.1015625","1.1015625","1.1015625"
"6020","2.125","2.125","2.125"
"6030","2.015625","2.015625","2.015625"
"6040","2.3125","2.3125","2.3125"
"6050","0.96875","0.96875","0.96875"
"6060","3.484375","3.484375","3.484375"
"6070","1.2890625","1.2890625","1.2890625"
"6080","1.0859375","1.0859375","1.0859375"
"6090","2.171875","2.171875","2.171875"
"6100","1.3671875","1.3671875","1.3671875"
"6110","2.796875","2.796875","2.796875"
"6120","1.359375","1.359375","1.359375"
"6130","1.15625","1.15625","1.15625"
"6140","2.40625","2.40625","2.40625"
"6150","2.125","2.125","2.125"
"6160","2.1875","2.1875","2.1875"
"6170","1.34375","1.34375","1.34375"
"6180","3.265625","3.265625","3.265625"
"6190","1.1875","1.1875","1.1875"
"6200","2.796875","2.796875","2.796875"
"6210","2.703125","2.703125","2.703125"
"6220","3.40625","3.40625","3.40625"
"6230","3.046875","3.046875","3.046875"
