"Step","deep-planet-14 - effective_dim","deep-planet-14 - effective_dim__MIN","deep-planet-14 - effective_dim__MAX"
"7350","300","300","300"
"7360","302","302","302"
"7370","282","282","282"
"7380","352","352","352"
"7390","310","310","310"
"7400","318","318","318"
"7410","246","246","246"
"7420","278","278","278"
"7430","316","316","316"
"7440","324","324","324"
"7450","348","348","348"
"7460","288","288","288"
"7470","276","276","276"
"7480","328","328","328"
"7490","342","342","342"
"7500","350","350","350"
"7510","231","231","231"
"7520","338","338","338"
"7530","310","310","310"
"7540","324","324","324"
"7550","340","340","340"
"7560","312","312","312"
"7570","310","310","310"
"7580","318","318","318"
"7590","316","316","316"
"7600","306","306","306"
"7610","314","314","314"
"7620","296","296","296"
"7630","314","314","314"
"7640","344","344","344"
"7650","310","310","310"
"7660","324","324","324"
"7670","290","290","290"
"7680","300","300","300"
"7690","296","296","296"
"7700","306","306","306"
"7710","270","270","270"
"7720","320","320","320"
"7730","320","320","320"
"7740","294","294","294"
"7750","304","304","304"
"7760","308","308","308"
"7770","332","332","332"
"7780","330","330","330"
"7790","326","326","326"
"7800","304","304","304"
"7810","320","320","320"
"7820","258","258","258"
"7830","308","308","308"
"7840","310","310","310"
"7850","310","310","310"
"7860","302","302","302"
"7870","318","318","318"
"7880","304","304","304"
"7890","322","322","322"
"7900","330","330","330"
"7910","354","354","354"
"7920","340","340","340"
"7930","304","304","304"
"7940","332","332","332"
"7950","320","320","320"
"7960","314","314","314"
"7970","342","342","342"
"7980","344","344","344"
"7990","340","340","340"
"8000","344","344","344"
"8010","310","310","310"
"8020","326","326","326"
"8030","342","342","342"
"8040","322","322","322"
"8050","340","340","340"
"8060","300","300","300"
"8070","312","312","312"
"8080","300","300","300"
"8090","324","324","324"
"8100","332","332","332"
"8110","364","364","364"
"8120","354","354","354"
"8130","332","332","332"
"8140","338","338","338"
"8150","316","316","316"
"8160","328","328","328"
"8170","286","286","286"
"8180","308","308","308"
"8190","318","318","318"
"8200","306","306","306"
"8210","328","328","328"
"8220","354","354","354"
"8230","328","328","328"
"8240","318","318","318"
"8250","334","334","334"
"8260","318","318","318"
"8270","312","312","312"
"8280","342","342","342"
"8290","322","322","322"
"8300","332","332","332"
"8310","318","318","318"
"8320","324","324","324"
"8330","296","296","296"
"8340","300","300","300"
"8350","350","350","350"
"8360","338","338","338"
"8370","264","264","264"
"8380","316","316","316"
"8390","324","324","324"
"8400","342","342","342"
"8410","322","322","322"
"8420","306","306","306"
"8430","356","356","356"
"8440","330","330","330"
"8450","324","324","324"
"8460","340","340","340"
"8470","370","370","370"
"8480","346","346","346"
"8490","330","330","330"
"8500","330","330","330"
"8510","322","322","322"
