"Step","deep-planet-14 - cov_loss","deep-planet-14 - cov_loss__MIN","deep-planet-14 - cov_loss__MAX"
"3370","2.25","2.25","2.25"
"3380","2.546875","2.546875","2.546875"
"3390","2.296875","2.296875","2.296875"
"3400","2.796875","2.796875","2.796875"
"3410","2.25","2.25","2.25"
"3420","2.921875","2.921875","2.921875"
"3430","3.5","3.5","3.5"
"3440","3.046875","3.046875","3.046875"
"3450","3.109375","3.109375","3.109375"
"3460","2.25","2.25","2.25"
"3470","3.046875","3.046875","3.046875"
"3480","3.015625","3.015625","3.015625"
"3490","2.78125","2.78125","2.78125"
"3500","2.921875","2.921875","2.921875"
"3510","2.453125","2.453125","2.453125"
"3520","2.34375","2.34375","2.34375"
"3530","2.75","2.75","2.75"
"3540","2.140625","2.140625","2.140625"
"3550","2.171875","2.171875","2.171875"
"3560","2.140625","2.140625","2.140625"
"3570","2.359375","2.359375","2.359375"
"3580","2.25","2.25","2.25"
"3590","2.953125","2.953125","2.953125"
"3600","2.234375","2.234375","2.234375"
"3610","2.921875","2.921875","2.921875"
"3620","2.3125","2.3125","2.3125"
"3630","2.34375","2.34375","2.34375"
"3640","2.171875","2.171875","2.171875"
"3650","2.109375","2.109375","2.109375"
"3660","2.296875","2.296875","2.296875"
"3670","2.171875","2.171875","2.171875"
"3680","2.125","2.125","2.125"
"3690","2.453125","2.453125","2.453125"
"3700","2.78125","2.78125","2.78125"
"3710","3.140625","3.140625","3.140625"
"3720","2.671875","2.671875","2.671875"
"3730","2.109375","2.109375","2.109375"
"3740","3.1875","3.1875","3.1875"
"3750","2.5625","2.5625","2.5625"
"3760","2.953125","2.953125","2.953125"
"3770","2.515625","2.515625","2.515625"
"3780","2.25","2.25","2.25"
"3790","2.21875","2.21875","2.21875"
"3800","2.203125","2.203125","2.203125"
"3810","2.359375","2.359375","2.359375"
"3820","2.859375","2.859375","2.859375"
"3830","2.359375","2.359375","2.359375"
"3840","2.9375","2.9375","2.9375"
"3850","2.375","2.375","2.375"
"3860","2.328125","2.328125","2.328125"
"3870","2.140625","2.140625","2.140625"
"3880","2.34375","2.34375","2.34375"
"3890","2.734375","2.734375","2.734375"
"3900","2.796875","2.796875","2.796875"
"3910","2.234375","2.234375","2.234375"
"3920","2.515625","2.515625","2.515625"
"3930","2.34375","2.34375","2.34375"
"3940","2.296875","2.296875","2.296875"
"3950","2.828125","2.828125","2.828125"
"3960","2.1875","2.1875","2.1875"
"3970","2.859375","2.859375","2.859375"
"3980","2.203125","2.203125","2.203125"
"3990","2.515625","2.515625","2.515625"
"4000","2.546875","2.546875","2.546875"
"4010","2.796875","2.796875","2.796875"
"4020","2.296875","2.296875","2.296875"
"4030","2.359375","2.359375","2.359375"
"4040","2.296875","2.296875","2.296875"
"4050","2.734375","2.734375","2.734375"
"4060","2.125","2.125","2.125"
"4070","2.96875","2.96875","2.96875"
"4080","2.15625","2.15625","2.15625"
"4090","2.71875","2.71875","2.71875"
"4100","2.25","2.25","2.25"
"4110","2.375","2.375","2.375"
"4120","2.140625","2.140625","2.140625"
"4130","2.203125","2.203125","2.203125"
"4140","2.1875","2.1875","2.1875"
"4150","2.4375","2.4375","2.4375"
"4160","2.34375","2.34375","2.34375"
"4170","2.671875","2.671875","2.671875"
"4180","2.84375","2.84375","2.84375"
"4190","2.1875","2.1875","2.1875"
"4200","2.21875","2.21875","2.21875"
"4210","2.359375","2.359375","2.359375"
"4220","2.3125","2.3125","2.3125"
"4230","2.171875","2.171875","2.171875"
"4240","2.203125","2.203125","2.203125"
"4250","2.71875","2.71875","2.71875"
"4260","2.640625","2.640625","2.640625"
"4270","2.515625","2.515625","2.515625"
"4280","2.71875","2.71875","2.71875"
"4290","2.328125","2.328125","2.328125"
"4300","2.328125","2.328125","2.328125"
"4310","2.453125","2.453125","2.453125"
"4320","2.15625","2.15625","2.15625"
"4330","2.25","2.25","2.25"
"4340","2.046875","2.046875","2.046875"
"4350","2.609375","2.609375","2.609375"
"4360","2.625","2.625","2.625"
"4370","2.59375","2.59375","2.59375"
"4380","2.453125","2.453125","2.453125"
"4390","2.234375","2.234375","2.234375"
"4400","2.328125","2.328125","2.328125"
"4410","2.609375","2.609375","2.609375"
"4420","10.1875","10.1875","10.1875"
"4430","6.03125","6.03125","6.03125"
"4440","3.53125","3.53125","3.53125"
"4450","3.203125","3.203125","3.203125"
"4460","2.953125","2.953125","2.953125"
"4470","2.453125","2.453125","2.453125"
"4480","3","3","3"
"4490","2.578125","2.578125","2.578125"
"4500","2.53125","2.53125","2.53125"
"4510","2.375","2.375","2.375"
"4520","2.5","2.5","2.5"
"4530","2.75","2.75","2.75"
"4540","2.53125","2.53125","2.53125"
"4550","2.28125","2.28125","2.28125"
"4560","2.234375","2.234375","2.234375"
"4570","2.46875","2.46875","2.46875"
"4580","2.625","2.625","2.625"
"4590","3.1875","3.1875","3.1875"
"4600","3.046875","3.046875","3.046875"
"4610","2.09375","2.09375","2.09375"
"4620","2.59375","2.59375","2.59375"
"4630","2.28125","2.28125","2.28125"
"4640","2.90625","2.90625","2.90625"
"4650","2.328125","2.328125","2.328125"
"4660","2.09375","2.09375","2.09375"
"4670","2.65625","2.65625","2.65625"
"4680","2.609375","2.609375","2.609375"
"4690","2.359375","2.359375","2.359375"
"4700","2.34375","2.34375","2.34375"
"4710","3.09375","3.09375","3.09375"
"4720","2.359375","2.359375","2.359375"
"4730","2.65625","2.65625","2.65625"
"4740","2.375","2.375","2.375"
"4750","2.140625","2.140625","2.140625"
"4760","2.46875","2.46875","2.46875"
"4770","2.359375","2.359375","2.359375"
"4780","2.71875","2.71875","2.71875"
"4790","2.109375","2.109375","2.109375"
"4800","2.375","2.375","2.375"
"4810","2.625","2.625","2.625"
"4820","2.390625","2.390625","2.390625"
"4830","2.546875","2.546875","2.546875"
"4840","2.4375","2.4375","2.4375"
"4850","3.578125","3.578125","3.578125"
"4860","2.96875","2.96875","2.96875"
"4870","3.15625","3.15625","3.15625"
