"Step","deep-planet-14 - contrastive_loss","deep-planet-14 - contrastive_loss__MIN","deep-planet-14 - contrastive_loss__MAX"
"3570","4.65625","4.65625","4.65625"
"3580","4.625","4.625","4.625"
"3590","4.6875","4.6875","4.6875"
"3600","4.6875","4.6875","4.6875"
"3610","4.6875","4.6875","4.6875"
"3620","4.65625","4.65625","4.65625"
"3630","4.65625","4.65625","4.65625"
"3640","4.65625","4.65625","4.65625"
"3650","4.65625","4.65625","4.65625"
"3660","4.65625","4.65625","4.65625"
"3670","4.65625","4.65625","4.65625"
"3680","4.65625","4.65625","4.65625"
"3690","4.625","4.625","4.625"
"3700","4.65625","4.65625","4.65625"
"3710","4.6875","4.6875","4.6875"
"3720","4.6875","4.6875","4.6875"
"3730","4.65625","4.65625","4.65625"
"3740","4.6875","4.6875","4.6875"
"3750","4.65625","4.65625","4.65625"
"3760","4.6875","4.6875","4.6875"
"3770","4.65625","4.65625","4.65625"
"3780","4.625","4.625","4.625"
"3790","4.65625","4.65625","4.65625"
"3800","4.65625","4.65625","4.65625"
"3810","4.6875","4.6875","4.6875"
"3820","4.6875","4.6875","4.6875"
"3830","4.65625","4.65625","4.65625"
"3840","4.6875","4.6875","4.6875"
"3850","4.65625","4.65625","4.65625"
"3860","4.625","4.625","4.625"
"3870","4.625","4.625","4.625"
"3880","4.625","4.625","4.625"
"3890","4.65625","4.65625","4.65625"
"3900","4.65625","4.65625","4.65625"
"3910","4.65625","4.65625","4.65625"
"3920","4.65625","4.65625","4.65625"
"3930","4.65625","4.65625","4.65625"
"3940","4.65625","4.65625","4.65625"
"3950","4.6875","4.6875","4.6875"
"3960","4.65625","4.65625","4.65625"
"3970","4.65625","4.65625","4.65625"
"3980","4.625","4.625","4.625"
"3990","4.65625","4.65625","4.65625"
"4000","4.65625","4.65625","4.65625"
"4010","4.6875","4.6875","4.6875"
"4020","4.65625","4.65625","4.65625"
"4030","4.65625","4.65625","4.65625"
"4040","4.65625","4.65625","4.65625"
"4050","4.6875","4.6875","4.6875"
"4060","4.65625","4.65625","4.65625"
"4070","4.6875","4.6875","4.6875"
"4080","4.65625","4.65625","4.65625"
"4090","4.6875","4.6875","4.6875"
"4100","4.65625","4.65625","4.65625"
"4110","4.625","4.625","4.625"
"4120","4.625","4.625","4.625"
"4130","4.65625","4.65625","4.65625"
"4140","4.65625","4.65625","4.65625"
"4150","4.625","4.625","4.625"
"4160","4.6875","4.6875","4.6875"
"4170","4.65625","4.65625","4.65625"
"4180","4.6875","4.6875","4.6875"
"4190","4.65625","4.65625","4.65625"
"4200","4.625","4.625","4.625"
"4210","4.65625","4.65625","4.65625"
"4220","4.65625","4.65625","4.65625"
"4230","4.65625","4.65625","4.65625"
"4240","4.65625","4.65625","4.65625"
"4250","4.65625","4.65625","4.65625"
"4260","4.6875","4.6875","4.6875"
"4270","4.6875","4.6875","4.6875"
"4280","4.6875","4.6875","4.6875"
"4290","4.65625","4.65625","4.65625"
"4300","4.65625","4.65625","4.65625"
"4310","4.6875","4.6875","4.6875"
"4320","4.65625","4.65625","4.65625"
"4330","4.65625","4.65625","4.65625"
"4340","4.625","4.625","4.625"
"4350","4.65625","4.65625","4.65625"
"4360","4.6875","4.6875","4.6875"
"4370","4.65625","4.65625","4.65625"
"4380","4.65625","4.65625","4.65625"
"4390","4.625","4.625","4.625"
"4400","4.65625","4.65625","4.65625"
"4410","4.625","4.625","4.625"
"4420","4.84375","4.84375","4.84375"
"4430","4.71875","4.71875","4.71875"
"4440","4.59375","4.59375","4.59375"
"4450","4.625","4.625","4.625"
"4460","4.59375","4.59375","4.59375"
"4470","4.59375","4.59375","4.59375"
"4480","4.59375","4.59375","4.59375"
"4490","4.59375","4.59375","4.59375"
"4500","4.59375","4.59375","4.59375"
"4510","4.59375","4.59375","4.59375"
"4520","4.59375","4.59375","4.59375"
"4530","4.625","4.625","4.625"
"4540","4.5625","4.5625","4.5625"
"4550","4.5625","4.5625","4.5625"
"4560","4.59375","4.59375","4.59375"
"4570","4.59375","4.59375","4.59375"
"4580","4.59375","4.59375","4.59375"
"4590","4.625","4.625","4.625"
"4600","4.625","4.625","4.625"
"4610","4.5625","4.5625","4.5625"
"4620","4.625","4.625","4.625"
"4630","4.59375","4.59375","4.59375"
"4640","4.59375","4.59375","4.59375"
"4650","4.59375","4.59375","4.59375"
"4660","4.5625","4.5625","4.5625"
"4670","4.5625","4.5625","4.5625"
"4680","4.625","4.625","4.625"
"4690","4.59375","4.59375","4.59375"
"4700","4.5625","4.5625","4.5625"
"4710","4.59375","4.59375","4.59375"
"4720","4.5625","4.5625","4.5625"
"4730","4.625","4.625","4.625"
"4740","4.625","4.625","4.625"
"4750","4.59375","4.59375","4.59375"
"4760","4.625","4.625","4.625"
"4770","4.5625","4.5625","4.5625"
"4780","4.59375","4.59375","4.59375"
"4790","4.5625","4.5625","4.5625"
"4800","4.59375","4.59375","4.59375"
"4810","4.59375","4.59375","4.59375"
"4820","4.5625","4.5625","4.5625"
"4830","4.625","4.625","4.625"
"4840","4.625","4.625","4.625"
"4850","4.65625","4.65625","4.65625"
"4860","4.625","4.625","4.625"
"4870","4.625","4.625","4.625"
"4880","4.59375","4.59375","4.59375"
"4890","4.59375","4.59375","4.59375"
"4900","4.59375","4.59375","4.59375"
"4910","4.59375","4.59375","4.59375"
"4920","4.625","4.625","4.625"
"4930","4.59375","4.59375","4.59375"
"4940","4.59375","4.59375","4.59375"
"4950","4.5625","4.5625","4.5625"
"4960","4.59375","4.59375","4.59375"
"4970","4.59375","4.59375","4.59375"
"4980","4.5625","4.5625","4.5625"
"4990","4.5625","4.5625","4.5625"
"5000","4.59375","4.59375","4.59375"
"5010","4.5625","4.5625","4.5625"
"5020","4.59375","4.59375","4.59375"
"5030","4.59375","4.59375","4.59375"
"5040","4.59375","4.59375","4.59375"
"5050","4.59375","4.59375","4.59375"
"5060","4.5625","4.5625","4.5625"
"5070","4.5625","4.5625","4.5625"
"5080","4.59375","4.59375","4.59375"
"5090","4.59375","4.59375","4.59375"
"5100","4.59375","4.59375","4.59375"
"5110","4.59375","4.59375","4.59375"
"5120","4.59375","4.59375","4.59375"
"5130","4.59375","4.59375","4.59375"
"5140","4.625","4.625","4.625"
"5150","4.59375","4.59375","4.59375"
"5160","4.59375","4.59375","4.59375"
"5170","4.59375","4.59375","4.59375"
"5180","4.59375","4.59375","4.59375"
"5190","4.59375","4.59375","4.59375"
"5200","4.625","4.625","4.625"
"5210","4.59375","4.59375","4.59375"
"5220","4.59375","4.59375","4.59375"
"5230","4.59375","4.59375","4.59375"
"5240","4.5625","4.5625","4.5625"
"5250","4.5625","4.5625","4.5625"
"5260","4.59375","4.59375","4.59375"
"5270","4.5625","4.5625","4.5625"
"5280","4.59375","4.59375","4.59375"
"5290","4.59375","4.59375","4.59375"
"5300","4.5625","4.5625","4.5625"
"5310","4.59375","4.59375","4.59375"
"5320","4.59375","4.59375","4.59375"
"5330","4.625","4.625","4.625"
"5340","4.5625","4.5625","4.5625"
"5350","4.59375","4.59375","4.59375"
"5360","4.59375","4.59375","4.59375"
"5370","4.59375","4.59375","4.59375"
"5380","4.625","4.625","4.625"
"5390","4.5625","4.5625","4.5625"
"5400","4.59375","4.59375","4.59375"
"5410","4.5625","4.5625","4.5625"
"5420","4.59375","4.59375","4.59375"
"5430","4.5625","4.5625","4.5625"
