"Step","tpu-v4-spmd-resumed-18000 - train/loss","tpu-v4-spmd-resumed-18000 - train/loss__MIN","tpu-v4-spmd-resumed-18000 - train/loss__MAX"
"26280","9.4375","9.4375","9.4375"
"26300","8.9375","8.9375","8.9375"
"26320","9.5","9.5","9.5"
"26340","8.5","8.5","8.5"
"26360","9.3125","9.3125","9.3125"
"26380","7.8125","7.8125","7.8125"
"26400","9.5","9.5","9.5"
"26420","8.1875","8.1875","8.1875"
"26440","8.375","8.375","8.375"
"26460","9.4375","9.4375","9.4375"
"26480","13.25","13.25","13.25"
"26500","8.875","8.875","8.875"
"26520","7.1875","7.1875","7.1875"
"26540","8.4375","8.4375","8.4375"
"26560","8","8","8"
"26580","13.8125","13.8125","13.8125"
"26600","10.9375","10.9375","10.9375"
"26620","12","12","12"
"26640","8.125","8.125","8.125"
"26660","8.9375","8.9375","8.9375"
"26680","8.25","8.25","8.25"
"26700","8.5625","8.5625","8.5625"
"26720","7.78125","7.78125","7.78125"
"26740","9.125","9.125","9.125"
"26760","13.3125","13.3125","13.3125"
"26780","10.875","10.875","10.875"
"26800","8.0625","8.0625","8.0625"
"26820","11","11","11"
"26840","8.375","8.375","8.375"
"26860","8.375","8.375","8.375"
"26880","8.125","8.125","8.125"
"26900","9.3125","9.3125","9.3125"
"26920","8.6875","8.6875","8.6875"
"26940","8.1875","8.1875","8.1875"
"26960","10.375","10.375","10.375"
"26980","7.3125","7.3125","7.3125"
"27000","7.25","7.25","7.25"
"27020","8.0625","8.0625","8.0625"
"27040","6.875","6.875","6.875"
"27060","6.96875","6.96875","6.96875"
"27080","9.625","9.625","9.625"
"27100","7.8125","7.8125","7.8125"
"27120","7.625","7.625","7.625"
"27140","7.71875","7.71875","7.71875"
"27160","10.1875","10.1875","10.1875"
"27180","7.125","7.125","7.125"
"27200","8.0625","8.0625","8.0625"
"27220","7.6875","7.6875","7.6875"
"27240","7.21875","7.21875","7.21875"
"27260","7.625","7.625","7.625"
"27280","11","11","11"
"27300","9.9375","9.9375","9.9375"
"27320","7.5","7.5","7.5"
"27340","7.53125","7.53125","7.53125"
"27360","7.78125","7.78125","7.78125"
"27380","8.375","8.375","8.375"
"27400","9.3125","9.3125","9.3125"
"27420","6.375","6.375","6.375"
"27440","8.0625","8.0625","8.0625"
"27460","7","7","7"
"27480","7.8125","7.8125","7.8125"
"27500","6.71875","6.71875","6.71875"
"27520","9.375","9.375","9.375"
"27540","7.125","7.125","7.125"
"27560","8.375","8.375","8.375"
"27580","7.40625","7.40625","7.40625"
"27600","10","10","10"
"27620","6.96875","6.96875","6.96875"
"27640","7.15625","7.15625","7.15625"
"27660","9.4375","9.4375","9.4375"
"27680","6.75","6.75","6.75"
"27700","9","9","9"
"27720","6.375","6.375","6.375"
"27740","6.8125","6.8125","6.8125"
"27760","7.5625","7.5625","7.5625"
"27780","7.90625","7.90625","7.90625"
"27800","8.0625","8.0625","8.0625"
