"Step","tpu-v4-spmd-resumed-0 - train/full_l40_prior","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MIN","tpu-v4-spmd-resumed-0 - train/full_l40_prior__MAX"
"9040","0.53515625","0.53515625","0.53515625"
"9060","0.50390625","0.50390625","0.50390625"
"9080","0.5234375","0.5234375","0.5234375"
"9100","0.455078125","0.455078125","0.455078125"
"9120","0.484375","0.484375","0.484375"
"9140","0.46484375","0.46484375","0.46484375"
"9160","0.46875","0.46875","0.46875"
"9180","0.5234375","0.5234375","0.5234375"
"9200","0.490234375","0.490234375","0.490234375"
"9220","0.4609375","0.4609375","0.4609375"
"9240","0.474609375","0.474609375","0.474609375"
"9260","0.49609375","0.49609375","0.49609375"
"9280","1.0234375","1.0234375","1.0234375"
"9300","0.47265625","0.47265625","0.47265625"
"9320","0.5625","0.5625","0.5625"
"9340","0.53125","0.53125","0.53125"
"9360","0.5234375","0.5234375","0.5234375"
"9380","0.46484375","0.46484375","0.46484375"
"9400","0.45703125","0.45703125","0.45703125"
"9420","0.515625","0.515625","0.515625"
"9440","0.53515625","0.53515625","0.53515625"
"9460","0.515625","0.515625","0.515625"
"9480","1.03125","1.03125","1.03125"
"9500","0.462890625","0.462890625","0.462890625"
"9520","0.44921875","0.44921875","0.44921875"
"9540","0.451171875","0.451171875","0.451171875"
"9560","0.45703125","0.45703125","0.45703125"
"9580","0.453125","0.453125","0.453125"
"9600","0.48046875","0.48046875","0.48046875"
"9620","0.474609375","0.474609375","0.474609375"
"9640","0.7421875","0.7421875","0.7421875"
"9660","0.46875","0.46875","0.46875"
"9680","0.48828125","0.48828125","0.48828125"
"9700","0.5390625","0.5390625","0.5390625"
"9720","0.44921875","0.44921875","0.44921875"
"9740","0.4921875","0.4921875","0.4921875"
"9760","0.46875","0.46875","0.46875"
"9780","0.4765625","0.4765625","0.4765625"
"9800","0.48046875","0.48046875","0.48046875"
"9820","0.51171875","0.51171875","0.51171875"
"9840","0.65625","0.65625","0.65625"
"9860","0.5","0.5","0.5"
"9880","0.48828125","0.48828125","0.48828125"
"9900","0.44140625","0.44140625","0.44140625"
"9920","0.49609375","0.49609375","0.49609375"
"9940","0.51953125","0.51953125","0.51953125"
"9960","0.484375","0.484375","0.484375"
"9980","0.5546875","0.5546875","0.5546875"
"10000","0.53515625","0.53515625","0.53515625"
"10020","0.47265625","0.47265625","0.47265625"
"10040","0.89453125","0.89453125","0.89453125"
"10060","0.5859375","0.5859375","0.5859375"
"10080","0.47265625","0.47265625","0.47265625"
"10100","0.48828125","0.48828125","0.48828125"
"10120","0.5078125","0.5078125","0.5078125"
"10140","0.546875","0.546875","0.546875"
"10160","0.5","0.5","0.5"
"10180","0.765625","0.765625","0.765625"
"10200","0.65625","0.65625","0.65625"
"10220","0.7421875","0.7421875","0.7421875"
"10240","1.359375","1.359375","1.359375"
"10260","0.62890625","0.62890625","0.62890625"
"10280","0.66015625","0.66015625","0.66015625"
"10300","1.640625","1.640625","1.640625"
"10320","0.72265625","0.72265625","0.72265625"
"10340","2.046875","2.046875","2.046875"
"10360","0.73046875","0.73046875","0.73046875"
"10380","0.5625","0.5625","0.5625"
"10400","1.640625","1.640625","1.640625"
"10420","0.5546875","0.5546875","0.5546875"
"10440","0.57421875","0.57421875","0.57421875"
"10460","0.703125","0.703125","0.703125"
"10480","0.8359375","0.8359375","0.8359375"
"10500","0.6015625","0.6015625","0.6015625"
"10520","0.9375","0.9375","0.9375"
"10540","0.66796875","0.66796875","0.66796875"
"10560","0.7109375","0.7109375","0.7109375"
"10580","0.4765625","0.4765625","0.4765625"
"10600","0.66796875","0.66796875","0.66796875"
"10620","0.5234375","0.5234375","0.5234375"
"10640","0.5703125","0.5703125","0.5703125"
