"Step","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t23","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t23__MIN","tpu-v4-spmd-resumed-18000 - train/delta_cos_l40_t23__MAX"
"24340","0.333984375","0.333984375","0.333984375"
"24360","0.6015625","0.6015625","0.6015625"
"24380","0.65625","0.65625","0.65625"
"24400","0.609375","0.609375","0.609375"
"24420","0.40625","0.40625","0.40625"
"24440","0.59375","0.59375","0.59375"
"24460","0.42578125","0.42578125","0.42578125"
"24480","0.53515625","0.53515625","0.53515625"
"24500","0.49609375","0.49609375","0.49609375"
"24520","0.609375","0.609375","0.609375"
"24540","0.5234375","0.5234375","0.5234375"
"24560","0.4609375","0.4609375","0.4609375"
"24580","0.53125","0.53125","0.53125"
"24600","0.43359375","0.43359375","0.43359375"
"24620","0.6328125","0.6328125","0.6328125"
"24640","0.35546875","0.35546875","0.35546875"
"24660","0.625","0.625","0.625"
"24680","0.3828125","0.3828125","0.3828125"
"24700","0.478515625","0.478515625","0.478515625"
"24720","0.66015625","0.66015625","0.66015625"
"24740","0.546875","0.546875","0.546875"
"24760","0.5078125","0.5078125","0.5078125"
"24780","0.65625","0.65625","0.65625"
"24800","0.6640625","0.6640625","0.6640625"
"24820","0.306640625","0.306640625","0.306640625"
"24840","0.44140625","0.44140625","0.44140625"
"24860","0.16015625","0.16015625","0.16015625"
"24880","0.515625","0.515625","0.515625"
"24900","0.5390625","0.5390625","0.5390625"
"24920","0.6328125","0.6328125","0.6328125"
"24940","0.41796875","0.41796875","0.41796875"
"24960","0.41015625","0.41015625","0.41015625"
"24980","0.59375","0.59375","0.59375"
"25000","0.6328125","0.6328125","0.6328125"
"25020","0.52734375","0.52734375","0.52734375"
"25040","0.5546875","0.5546875","0.5546875"
"25060","0.69140625","0.69140625","0.69140625"
"25080","0.578125","0.578125","0.578125"
"25100","0.42578125","0.42578125","0.42578125"
"25120","0.65625","0.65625","0.65625"
"25140","0.47265625","0.47265625","0.47265625"
"25160","0.349609375","0.349609375","0.349609375"
"25180","0.58203125","0.58203125","0.58203125"
"25200","0.54296875","0.54296875","0.54296875"
"25220","0.45703125","0.45703125","0.45703125"
"25240","0.6328125","0.6328125","0.6328125"
"25260","0.275390625","0.275390625","0.275390625"
"25280","0.5390625","0.5390625","0.5390625"
"25300","0.640625","0.640625","0.640625"
"25320","0.6171875","0.6171875","0.6171875"
"25340","0.640625","0.640625","0.640625"
"25360","0.33203125","0.33203125","0.33203125"
"25380","0.412109375","0.412109375","0.412109375"
"25400","0.609375","0.609375","0.609375"
"25420","0.65234375","0.65234375","0.65234375"
"25440","0.6328125","0.6328125","0.6328125"
"25460","0.46484375","0.46484375","0.46484375"
"25480","0.56640625","0.56640625","0.56640625"
"25500","0.6875","0.6875","0.6875"
"25520","0.671875","0.671875","0.671875"
"25540","0.59375","0.59375","0.59375"
"25560","0.6796875","0.6796875","0.6796875"
"25580","0.7109375","0.7109375","0.7109375"
"25600","0.6640625","0.6640625","0.6640625"
"25620","0.6015625","0.6015625","0.6015625"
"25640","0.546875","0.546875","0.546875"
"25660","0.23046875","0.23046875","0.23046875"
"25680","0.5546875","0.5546875","0.5546875"
"25700","0.263671875","0.263671875","0.263671875"
"25720","0.345703125","0.345703125","0.345703125"
"25740","0.7421875","0.7421875","0.7421875"
"25760","0.4140625","0.4140625","0.4140625"
"25780","0.6171875","0.6171875","0.6171875"
"25800","0.34765625","0.34765625","0.34765625"
"25820","0.2314453125","0.2314453125","0.2314453125"
"25840","0.5234375","0.5234375","0.5234375"
"25860","0.53125","0.53125","0.53125"
"25880","0.6328125","0.6328125","0.6328125"
"25900","0.6171875","0.6171875","0.6171875"
"25920","0.6171875","0.6171875","0.6171875"
"25940","0.375","0.375","0.375"
"25960","0.57421875","0.57421875","0.57421875"
"25980","0.546875","0.546875","0.546875"
"26000","0.36328125","0.36328125","0.36328125"
"26020","0.609375","0.609375","0.609375"
"26040","0.7265625","0.7265625","0.7265625"
"26060","0.400390625","0.400390625","0.400390625"
"26080","0.640625","0.640625","0.640625"
"26100","0.474609375","0.474609375","0.474609375"
"26120","0.29296875","0.29296875","0.29296875"
"26140","0.306640625","0.306640625","0.306640625"
"26160","0.52734375","0.52734375","0.52734375"
