"Step","phase1-awakening - loss","phase1-awakening - loss__MIN","phase1-awakening - loss__MAX"
"231","58.80842590332031","58.80842590332031","58.80842590332031"
"232","97.22915649414062","97.22915649414062","97.22915649414062"
"233","37.29674530029297","37.29674530029297","37.29674530029297"
"234","136.05783081054688","136.05783081054688","136.05783081054688"
"235","50.87373352050781","50.87373352050781","50.87373352050781"
"236","82.59663391113281","82.59663391113281","82.59663391113281"
"237","34.38103485107422","34.38103485107422","34.38103485107422"
"238","63.75291061401367","63.75291061401367","63.75291061401367"
"239","94.9084701538086","94.9084701538086","94.9084701538086"
"240","102.9173812866211","102.9173812866211","102.9173812866211"
"241","70.56723022460938","70.56723022460938","70.56723022460938"
"242","114.72122955322266","114.72122955322266","114.72122955322266"
"243","47.23720169067383","47.23720169067383","47.23720169067383"
"244","54.07772445678711","54.07772445678711","54.07772445678711"
"245","34.25324249267578","34.25324249267578","34.25324249267578"
"246","63.60053253173828","63.60053253173828","63.60053253173828"
"247","53.31281280517578","53.31281280517578","53.31281280517578"
"248","73.44026947021484","73.44026947021484","73.44026947021484"
"249","109.62633514404297","109.62633514404297","109.62633514404297"
"250","63.19880676269531","63.19880676269531","63.19880676269531"
"251","99.01409912109375","99.01409912109375","99.01409912109375"
"252","449.6759033203125","449.6759033203125","449.6759033203125"
"253","32.227699279785156","32.227699279785156","32.227699279785156"
"254","109.49182891845703","109.49182891845703","109.49182891845703"
"255","161.47569274902344","161.47569274902344","161.47569274902344"
"256","28.754764556884766","28.754764556884766","28.754764556884766"
"257","120.71440124511719","120.71440124511719","120.71440124511719"
"258","34.864227294921875","34.864227294921875","34.864227294921875"
"259","37.28327560424805","37.28327560424805","37.28327560424805"
"260","51.67920684814453","51.67920684814453","51.67920684814453"
"261","83.49853515625","83.49853515625","83.49853515625"
"262","37.296749114990234","37.296749114990234","37.296749114990234"
"263","48.39166259765625","48.39166259765625","48.39166259765625"
"264","46.27861785888672","46.27861785888672","46.27861785888672"
"265","44.26187515258789","44.26187515258789","44.26187515258789"
"266","35.77642059326172","35.77642059326172","35.77642059326172"
"267","44.06629943847656","44.06629943847656","44.06629943847656"
"268","36.398277282714844","36.398277282714844","36.398277282714844"
"269","38.93556213378906","38.93556213378906","38.93556213378906"
"270","38.33891677856445","38.33891677856445","38.33891677856445"
"271","49.899566650390625","49.899566650390625","49.899566650390625"
"272","45.2881965637207","45.2881965637207","45.2881965637207"
"273","138.3477325439453","138.3477325439453","138.3477325439453"
"274","32.1582145690918","32.1582145690918","32.1582145690918"
"275","64.62984466552734","64.62984466552734","64.62984466552734"
"276","50.96592712402344","50.96592712402344","50.96592712402344"
"277","89.40158081054688","89.40158081054688","89.40158081054688"
"278","32.780982971191406","32.780982971191406","32.780982971191406"
"279","37.73486328125","37.73486328125","37.73486328125"
"280","41.47545623779297","41.47545623779297","41.47545623779297"
"281","177.79339599609375","177.79339599609375","177.79339599609375"
"282","91.74520111083984","91.74520111083984","91.74520111083984"
"283","35.73561096191406","35.73561096191406","35.73561096191406"
"284","110.53451538085938","110.53451538085938","110.53451538085938"
"285","61.784873962402344","61.784873962402344","61.784873962402344"
"286","30.641536712646484","30.641536712646484","30.641536712646484"
"287","48.02064514160156","48.02064514160156","48.02064514160156"
"288","36.116947174072266","36.116947174072266","36.116947174072266"
"289","38.85765838623047","38.85765838623047","38.85765838623047"
"290","55.32719421386719","55.32719421386719","55.32719421386719"
"291","33.83938980102539","33.83938980102539","33.83938980102539"
"292","56.0777702331543","56.0777702331543","56.0777702331543"
"293","31.31662368774414","31.31662368774414","31.31662368774414"
"294","41.47746276855469","41.47746276855469","41.47746276855469"
"295","41.73564147949219","41.73564147949219","41.73564147949219"
"296","36.7801628112793","36.7801628112793","36.7801628112793"
"297","26.99433135986328","26.99433135986328","26.99433135986328"
"298","44.52219772338867","44.52219772338867","44.52219772338867"
"299","35.84257125854492","35.84257125854492","35.84257125854492"
"300","30.615976333618164","30.615976333618164","30.615976333618164"
"301","36.70268249511719","36.70268249511719","36.70268249511719"
"302","33.26470184326172","33.26470184326172","33.26470184326172"
"303","33.83374786376953","33.83374786376953","33.83374786376953"
"304","33.521453857421875","33.521453857421875","33.521453857421875"
"305","34.23979187011719","34.23979187011719","34.23979187011719"
"306","38.91181564331055","38.91181564331055","38.91181564331055"
"307","30.300865173339844","30.300865173339844","30.300865173339844"
"308","31.668354034423828","31.668354034423828","31.668354034423828"
"309","39.872825622558594","39.872825622558594","39.872825622558594"
"310","105.88595581054688","105.88595581054688","105.88595581054688"
"311","37.73278045654297","37.73278045654297","37.73278045654297"
"312","32.887264251708984","32.887264251708984","32.887264251708984"
"313","32.64198303222656","32.64198303222656","32.64198303222656"
"314","32.41600036621094","32.41600036621094","32.41600036621094"
"315","28.546310424804688","28.546310424804688","28.546310424804688"
"316","78.62130737304688","78.62130737304688","78.62130737304688"
"317","32.9287109375","32.9287109375","32.9287109375"
"318","29.093364715576172","29.093364715576172","29.093364715576172"
"319","26.389122009277344","26.389122009277344","26.389122009277344"
"320","28.006540298461914","28.006540298461914","28.006540298461914"
"321","31.648651123046875","31.648651123046875","31.648651123046875"
"322","41.2093620300293","41.2093620300293","41.2093620300293"
"323","40.10729217529297","40.10729217529297","40.10729217529297"
"324","59.709720611572266","59.709720611572266","59.709720611572266"
"325","54.75996017456055","54.75996017456055","54.75996017456055"
"326","35.04768753051758","35.04768753051758","35.04768753051758"
"327","103.73860168457031","103.73860168457031","103.73860168457031"
"328","36.014888763427734","36.014888763427734","36.014888763427734"
"329","35.48139190673828","35.48139190673828","35.48139190673828"
"330","31.670730590820312","31.670730590820312","31.670730590820312"
"331","30.943513870239258","30.943513870239258","30.943513870239258"
"332","30.764816284179688","30.764816284179688","30.764816284179688"
"333","33.026615142822266","33.026615142822266","33.026615142822266"
"334","33.267662048339844","33.267662048339844","33.267662048339844"
"335","30.78677749633789","30.78677749633789","30.78677749633789"
"336","40.624359130859375","40.624359130859375","40.624359130859375"
"337","52.64044952392578","52.64044952392578","52.64044952392578"
"338","40.0957145690918","40.0957145690918","40.0957145690918"
"339","35.72862243652344","35.72862243652344","35.72862243652344"
"340","33.54355239868164","33.54355239868164","33.54355239868164"
"341","36.390316009521484","36.390316009521484","36.390316009521484"
"342","32.932762145996094","32.932762145996094","32.932762145996094"
"343","32.56787109375","32.56787109375","32.56787109375"
"344","32.88915252685547","32.88915252685547","32.88915252685547"
"345","35.139190673828125","35.139190673828125","35.139190673828125"
"346","32.137245178222656","32.137245178222656","32.137245178222656"
"347","31.652061462402344","31.652061462402344","31.652061462402344"
"348","37.06441879272461","37.06441879272461","37.06441879272461"
"349","34.76299285888672","34.76299285888672","34.76299285888672"
"350","39.08976745605469","39.08976745605469","39.08976745605469"
"351","28.073726654052734","28.073726654052734","28.073726654052734"
"352","32.43785858154297","32.43785858154297","32.43785858154297"
"353","34.414024353027344","34.414024353027344","34.414024353027344"
"354","35.83032989501953","35.83032989501953","35.83032989501953"
"355","32.00657272338867","32.00657272338867","32.00657272338867"
"356","31.009422302246094","31.009422302246094","31.009422302246094"
"357","59.7733154296875","59.7733154296875","59.7733154296875"
"358","30.777442932128906","30.777442932128906","30.777442932128906"
"359","57.20830154418945","57.20830154418945","57.20830154418945"
"360","24.920814514160156","24.920814514160156","24.920814514160156"
"361","42.363216400146484","42.363216400146484","42.363216400146484"
"362","37.17610168457031","37.17610168457031","37.17610168457031"
"363","31.75057601928711","31.75057601928711","31.75057601928711"
"364","27.986602783203125","27.986602783203125","27.986602783203125"
"365","28.763317108154297","28.763317108154297","28.763317108154297"
"366","32.22868347167969","32.22868347167969","32.22868347167969"
"367","34.41127014160156","34.41127014160156","34.41127014160156"
"368","58.55715560913086","58.55715560913086","58.55715560913086"
"369","58.43169021606445","58.43169021606445","58.43169021606445"
"370","35.51344299316406","35.51344299316406","35.51344299316406"
"371","26.771316528320312","26.771316528320312","26.771316528320312"
"372","27.255578994750977","27.255578994750977","27.255578994750977"
"373","36.46828842163086","36.46828842163086","36.46828842163086"
"374","37.34980773925781","37.34980773925781","37.34980773925781"
"375","27.46187973022461","27.46187973022461","27.46187973022461"
"376","29.880321502685547","29.880321502685547","29.880321502685547"
"377","37.74494171142578","37.74494171142578","37.74494171142578"
"378","61.092124938964844","61.092124938964844","61.092124938964844"
"379","49.03010177612305","49.03010177612305","49.03010177612305"
"380","33.05858612060547","33.05858612060547","33.05858612060547"
"381","49.28175735473633","49.28175735473633","49.28175735473633"
"382","26.602977752685547","26.602977752685547","26.602977752685547"
"383","28.814903259277344","28.814903259277344","28.814903259277344"
"384","40.509071350097656","40.509071350097656","40.509071350097656"
"385","33.7685546875","33.7685546875","33.7685546875"
"386","56.40523910522461","56.40523910522461","56.40523910522461"
"387","31.122278213500977","31.122278213500977","31.122278213500977"
"388","27.978796005249023","27.978796005249023","27.978796005249023"
"389","31.535545349121094","31.535545349121094","31.535545349121094"
"390","28.979028701782227","28.979028701782227","28.979028701782227"
"391","27.364253997802734","27.364253997802734","27.364253997802734"
"392","30.077425003051758","30.077425003051758","30.077425003051758"
"393","33.31998825073242","33.31998825073242","33.31998825073242"
"394","35.3264045715332","35.3264045715332","35.3264045715332"
"395","32.27619171142578","32.27619171142578","32.27619171142578"
"396","32.33686828613281","32.33686828613281","32.33686828613281"
"397","83.36217498779297","83.36217498779297","83.36217498779297"
"398","116.17109680175781","116.17109680175781","116.17109680175781"
"399","26.844371795654297","26.844371795654297","26.844371795654297"
"401","39.16958236694336","39.16958236694336","39.16958236694336"
"402","31.48055076599121","31.48055076599121","31.48055076599121"
"403","32.18781280517578","32.18781280517578","32.18781280517578"
"404","29.842361450195312","29.842361450195312","29.842361450195312"
"405","29.513683319091797","29.513683319091797","29.513683319091797"
"406","29.52347183227539","29.52347183227539","29.52347183227539"
"407","29.410385131835938","29.410385131835938","29.410385131835938"
"408","40.645809173583984","40.645809173583984","40.645809173583984"
"409","28.094261169433594","28.094261169433594","28.094261169433594"
"410","30.476158142089844","30.476158142089844","30.476158142089844"
"411","53.166748046875","53.166748046875","53.166748046875"
"412","26.953723907470703","26.953723907470703","26.953723907470703"
